Supo1,40,25,,,,,,,,,,,,,,,,,,,,,,,,
Supo1,TCID,TEMP,VF1,VF2,VF3,VF4,VF5,VF6,VF7,VF8,VF9,VF10,kw,KWMAX,VF,RR,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6,TEMP7,TEMP8,TEMP9,TEMP10
Supo1,0,5,30,31,32,33,34,35,36,37,38,39,54,56,409,455,474,526,528,530,532,534,536,538,540,542
Supo1,1,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,2,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,96.6035,0.0150104,-1.60E-06,62.6163,64.0762,65.6619,67.2859,68.7363,70.203,71.663,72.9808,74.1222,74.982
Supo1,3,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,867.222,0.0150104,1.31E-07,62.6163,64.0762,65.6619,67.2859,68.7363,70.203,71.663,72.9808,74.1222,74.982
Supo1,4,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,16033.6,0.0150104,1.11E-07,62.6163,64.0762,65.6619,67.2859,68.7363,70.203,71.663,72.9808,74.1222,74.982
Supo1,5,39.6856,0.00123389,0.00261486,0.00411432,0.00564927,0.00701906,0.00840365,0.00978103,0.0110233,0.0120983,0.0129072,12.1745,16.3745,0.00748449,0.196302,35.1583,36.1611,37.2557,38.3771,39.3676,40.3688,41.3633,42.2504,43.005,43.549
Supo1,6,69.233,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,31.3166,0.0150104,-0.000132192,62.6165,64.0764,65.6621,67.2861,68.7365,70.2033,71.6632,72.981,74.1224,74.9822
Supo1,7,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,242.771,0.0150104,-2.52E-05,62.6163,64.0763,65.662,67.2859,68.7363,70.2031,71.663,72.9808,74.1222,74.9821
Supo1,8,69.2328,0.00248874,0.00526923,0.00828222,0.0113599,0.0141008,0.0168659,0.0196113,0.022083,0.0242188,0.0258243,22.8298,4581.53,0.0150104,-1.98E-05,62.6163,64.0763,65.662,67.2859,68.7363,70.2031,71.663,72.9808,74.1222,74.982
Supo1,9,35.4594,0.000951709,0.00201757,0.00317569,0.0043621,0.00542172,0.00649355,0.00756059,0.00852374,0.00935796,0.00998626,9.49454,26.4273,0.00578509,0.000186684,31.1211,32.0784,33.1181,34.1829,35.1339,36.0956,37.0529,37.9169,38.6653,39.2291
Supo1,10,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,11,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4257,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,12,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,13,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,14,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,15,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,16,47.0461,0.00154717,0.00327805,0.00515656,0.00707855,0.00879289,0.010525,0.0122472,0.0137998,0.015143,0.0161532,14.9826,26.4273,0.00937214,0.16433,41.9579,43.0836,44.3113,45.5692,46.6829,47.8089,48.928,49.929,50.7839,51.4064
Supo1,17,35.4595,0.000951737,0.00201763,0.00317578,0.00436223,0.00542188,0.00649374,0.00756081,0.00852399,0.00935824,0.00998656,9.49481,64.8928,0.00578526,1.25E-05,31.1213,32.0785,33.1182,34.183,35.134,36.0957,37.053,37.917,38.6654,39.2292
